Type	Gene	
Blood	ZNF616	
Blood	MORF4L2-AS1	
Blood	SIRT5	
Blood	CCNB1IP1	
Blood	GIMAP1	
Blood	FUT11	
Blood	SFXN1	
Blood	ZBED6CL	
Blood	ZNF785	
Blood	AJUBA	
Blood	C14orf169	
Blood	ZBTB5	
Blood	BLCAP	
Blood	AASDH	
Blood	PCSK7	
Blood	FAHD2A	
Blood	CD84	
Blood	NDRG2	
Blood	SLC25A16	
Blood	PPAN	
Blood	NUP88	
Blood	CLSTN1	
Blood	LIG3	
Blood	NPIPA1	
Blood	GATC	
Blood	KCTD1	
Blood	PMS2P3	
Blood	MRPL49	
Blood	CTCF	
Blood	SENP1	
Blood	LRRC8A	
Blood	USP13	
Blood	PPP2R5C	
Blood	ZSWIM5	
Blood	DCP1A	
Blood	VGLL4	
Blood	OSBP	
Blood	PACSIN1	
Blood	RABL3	
Blood	IGSF22	
Blood	ZBTB24	
Blood	USP9X	
Blood	LOC389641	
Blood	SRSF5	
Blood	RAD52	
Blood	DYNLL2	
Blood	TMEM163	
Blood	NOL6	
Blood	SF1	
Blood	GOLGA3	
Blood	PALB2	
Blood	ASNS	
Blood	LSG1	
Blood	ATAD2	
Blood	ZNF211	
Blood	RLN1	
Blood	MAP3K12	
Blood	FOXJ3	
Blood	DPP7	
Blood	DDX24	
Blood	EXOC2	
Blood	TUBB	
Blood	CSNK2A2	
Blood	EXO5	
Blood	CYP 20.00	
Blood	CABYR	
Blood	WDR82	
Blood	ARHGEF39	
Blood	RPL23AP32	
Blood	CACNA1A	
Blood	XPO5	
Blood	GLTSCR1L	
Blood	MRPS18B	
Blood	RPA1	
Blood	LYAR	
Blood	DIDO1	
Blood	SIGMAR1	
Blood	CNN3	
Blood	URGCP	
Blood	NAT10	
Blood	ASH1L	
Blood	THUMPD3	
Blood	DNMT1	
Blood	DNHD1	
Blood	ZNF251	
Blood	MTBP	
Blood	DDX19A	
Blood	SRPRB	
Blood	SUN2	
Blood	SLC35G3	
Blood	PIGC	
Blood	MBD5	
Blood	ZFP14	
Blood	CDC16	
Blood	ELL3	
Blood	ZNF554	
Blood	ZNF891	
Blood	GYLTL1B	
Blood	GEMIN4	
Blood	TP53	
Blood	URB2	
Blood	ZNF747	
Blood	COL13A1	
Blood	GTF3C2	
Blood	EXOC6B	
Blood	CENPJ	
Blood	MIPEP	
Blood	SLC25A15	
Blood	KLF3-AS1	
Blood	SOCS7	
Blood	ZNF343	
Blood	SETD6	
Blood	GPN2	
Blood	LUC7L	
Blood	USP54	
Blood	ACTR3B	
Blood	ELP3	
Blood	C1QTNF3	
Blood	TSPAN15	
Blood	MGC12916	
Blood	RBM48	
Blood	C10orf2	
Blood	TMEM42	
Blood	GLS2	
Blood	FXN	
Blood	DEXI	
Blood	KDM2A	
Blood	SLC35G1	
Blood	TJP3	
Blood	RFTN1	
Blood	LETM1	
Blood	MRI1	
Blood	GOT1	
Blood	CCNK	
Blood	POLR2J4	
Blood	PAN2	
Blood	TRRAP	
Blood	PMS2	
Blood	SLC25A42	
Blood	HEATR5B	
Blood	PRPF19	
Blood	NELFCD	
Blood	NVL	
Blood	PYGO2	
Blood	TMED3	
Blood	KRR1	
Blood	ZNF665	
Blood	GIGYF2	
Blood	PCYOX1L	
Blood	BMS1	
Blood	CX3CR1	
Blood	ZBTB3	
Blood	RP9	
Blood	NPAS2	
Blood	FASN	
Blood	YTHDC1	
Blood	TRPV2	
Blood	TGS1	
Blood	TGFBRAP1	
Blood	CNOT1	
Blood	LOC102723692	
Blood	ZNF853	
Blood	KCNK10	
Blood	NPR 2.00	
Blood	C15orf41	
Blood	DCAF5	
Blood	PGBD1	
Blood	SUPV3L1	
Blood	PTBP1	
Blood	PIGO	
Blood	PNO1	
Blood	PHF13	
Blood	PIGU	
Blood	TULP3	
Blood	UBE2D4	
Blood	POP5	
Blood	PRIM2	
Blood	AP1S3	
Blood	C1orf74	
Blood	EXT2	
Blood	PITRM1	
Blood	ZNF154	
Blood	INVS	
Blood	NUP205	
Blood	IL27RA	
Blood	MMAB	
Blood	SETD4	
Blood	CAPN5	
Blood	DUSP28	
Blood	WRNIP1	
Blood	NUDCD3	
Blood	C3orf33	
Blood	UBE2G2	
Blood	TTPAL	
Blood	ZNF213-AS1	
Blood	NT5DC1	
Blood	RNF44	
Blood	NEK9	
Blood	C8orf33	
Blood	TSR2	
Blood	ZNF445	
Blood	ELAC2	
Blood	CRYZL1	
Blood	UCP2	
Blood	RBM15B	
Blood	ZNF19	
Blood	DCAF8	
Blood	MBTPS2	
Blood	ZNF528	
Blood	PLEKHA2	
Blood	TMEM248	
Blood	ZNF212	
Blood	TATDN2	
Blood	BAG5	
Blood	NCAPD3	
Blood	OARD1	
Blood	ZNF490	
Blood	PDE6D	
Blood	POLR2H	
Blood	RAPGEF5	
Blood	NIPSNAP1	
Blood	LOC648987	
Blood	GID8	
Blood	SIK2	
Blood	MYO5B	
Blood	LINC00623	
Blood	PPFIBP1	
Blood	POGZ	
Blood	DNAJC11	
Blood	FILIP1	
Blood	SDHAP1	
Blood	CUTA	
Blood	PHF8	
Blood	IMP3	
Blood	TJAP1	
Blood	RRS1	
Blood	BCL9	
Blood	ARHGEF7	
Blood	DDX54	
Blood	FDFT1	
Blood	WDR27	
Blood	EIF2S3	
Blood	AKAP8	
Blood	ARPC5L	
Blood	SS18L2	
Blood	GOT2	
Blood	DPH2	
Blood	ARHGAP42	
Blood	RPL14	
Blood	KDM1A	
Blood	LETMD1	
Blood	ARHGAP17	
Blood	KLF13	
Blood	CYTH1	
Blood	FAM168B	
Blood	SPECC1L	
Blood	CLCA4	
Blood	USP7	
Blood	SERGEF	
Blood	ZNF76	
Blood	CTBP1	
Blood	SDHA	
Blood	NHP2	
Blood	PARP6	
Blood	ARL4D	
Blood	YTHDF1	
Blood	PCDHB14	
Blood	CNOT11	
Blood	B3GALNT1	
Blood	RPS20	
Blood	HNRNPUL1	
Blood	NPAS3	
Blood	HAND2-AS1	
Blood	FMN2	
Blood	TMEM47	
Blood	EEF2	
Blood	HUWE1	
Blood	RNPS1	
Blood	RPL27A	
Blood	RPS4X	
Blood	TRMT5	
Blood	RPL23A	
Blood	RPL19	
Blood	RPL37A	
Blood	S100A4	
Blood	UBC	
Blood	GABARAP	
Blood	PSAP	
Blood	UBE2U	
Blood	FGR	
Blood	SSMEM1	
Blood	KCNC1	
Blood	CCDC169	
Blood	CD300LG	
Blood	PI15	
Blood	SALL3	
Blood	ST20	
Blood	MS4A6E	
Blood	ASPG	
Blood	TKTL2	
Blood	TSGA10IP	
Blood	MYD88	
Blood	PPP2R5A	
Blood	GNG5	
Blood	COL8A1	
Blood	LINC00908	
Blood	POMP	
Blood	TRAPPC3	
Blood	MUC19	
Blood	BECN1	
Blood	RPN1	
Blood	COL12A1	
Blood	C9orf116	
Blood	MROH2A	
Blood	CTD-3080P12.3	
Blood	BCL2L2	
Blood	PLK5	
Blood	SCARB1	
Blood	THSD7A	
Blood	MAATS1	
Blood	PGC	
Blood	ARL6IP6	
Blood	BDKRB2	
Blood	PRSS3P2	
Blood	MAP6	
Blood	LINC01169	
Blood	CRTAC1	
Blood	CAP1	
Blood	DVL3	
Blood	TFCP2L1	
Blood	KCNS3	
Blood	FPR1	
Blood	EDNRB	
Blood	PTGER3	
Blood	ARPC1A	
Blood	MPST	
Blood	EIF4A1	
Blood	ESCO2	
Blood	ATP8B5P	
Blood	LOC100310756	
Blood	DIAPH3	
Blood	AICDA	
Blood	LRRC29	
Blood	CENPF	
Blood	XYLB	
Blood	CTSZ	
Blood	COA3	
Blood	SAT2	
Blood	FAM192A	
Blood	C16orf82	
Blood	PRR16	
Blood	IGF1	
Blood	CPXM2	
Blood	PAQR4	
Blood	LRRC59	
Blood	HYALP1	
Blood	DESI1	
Blood	SYNPO2	
Blood	UNC119	
Blood	SLC25A44	
Blood	RNF144A-AS1	
Blood	TMEM219	
Blood	MAP3K6	
Blood	GJA4	
Blood	LRP3	
Blood	SLC4A8	
Blood	SMUG1	
Blood	PDZD3	
Blood	RILPL2	
Blood	CHAF1A	
Blood	DUSP22	
Blood	SLC39A1	
Blood	KCNJ2-AS1	
Blood	TATDN3	
Blood	CASP4	
Blood	MED28	
Blood	THRB	
Blood	PARVG	
Blood	MAP1LC3B	
Blood	MPDU1	
Blood	P4HA3	
Blood	NCF2	
Blood	TSG101	
Blood	KIF9	
Blood	RALGPS1	
Blood	ENO1	
Blood	ARF5	
Blood	MFSD2A	
Blood	LOC101927330	
Blood	SPX	
Blood	HJURP	
Blood	TMCO3	
Blood	MAP3K3	
Blood	FCN2	
Blood	MKRN2	
Blood	B3GNTL1	
Blood	TSPAN4	
Blood	ALDOB	
Blood	MANBA	
Blood	TPD52L2	
Blood	C4orf33	
Blood	XXYLT1	
Blood	ANXA2P2	
Blood	RCOR1	
Blood	LOC285847	
Blood	CD300A	
Blood	TMBIM6	
Blood	ARNT	
Blood	PIAS1	
Blood	KIF20A	
Blood	ZMYND10	
Blood	PRLR	
Blood	MAP3K19	
Blood	ACOT9	
Blood	SAPCD2	
Blood	HPX	
Blood	ST8SIA4	
Blood	LAT2	
Blood	SERP2	
Blood	NEK6	
Blood	KIAA0513	
Blood	YIPF1	
Blood	ZBTB47	
Blood	SUSD1	
Blood	SLC28A3	
Blood	SEMA6B	
Blood	NEK3	
Blood	SH3BP5L	
Blood	CINP	
Blood	RMDN2	
Blood	MICU1	
Blood	WDFY2	
Blood	NKIRAS2	
Blood	NDUFA10	
Blood	MCU	
Blood	ARNTL2	
Blood	ZFP92	
Blood	PQLC1	
Blood	UBR2	
Blood	LINC00520	
Blood	ZSWIM4	
Blood	SLC15A4	
Blood	HCCS	
Blood	MAP1LC3B2	
Blood	TIMM23	
Blood	LOC646268	
Blood	DNASE1L1	
Blood	ATP6V0D1	
Blood	COLGALT1	
Blood	TRIP6	
Blood	NT5DC2	
Blood	UGP2	
Blood	ACTR1A	
Blood	POLB	
Blood	KCNK6	
Blood	RPS6KA6	
Blood	TRIM25	
Blood	SPRY3	
Blood	DNAJA1	
Blood	BTN2A1	
Blood	TIMP1	
Blood	HCK	
Blood	RFFL	
Blood	CLEC11A	
Blood	SETDB1	
Blood	LAMTOR2	
Blood	LINC00899	
Blood	WIPI1	
Blood	GPR173	
Blood	C11orf74	
Blood	SOX6	
Blood	WBP4	
Blood	LAMTOR1	
Blood	LOC100507507	
Blood	CDCA3	
Blood	GTDC1	
Blood	UGGT2	
Blood	ASB13	
Blood	OAZ2	
Blood	GLIPR2	
Blood	PSMB3	
Blood	DHRSX	
Blood	NFKBIA	
Blood	SCYL1	
Blood	WDR1	
Blood	LOC729732	
Blood	ARPC5	
Blood	SLC2A9	
Blood	ADAM17	
Blood	NPL	
Blood	DYNC1LI1	
Blood	RBPJ	
Blood	SLC30A6	
Blood	ACOT13	
Blood	IFNAR1	
Blood	ACSS2	
Blood	CWC25	
Blood	STX6	
Blood	BUB1	
Blood	FCER1G	
Blood	SPG20	
Blood	NACC2	
Blood	FOXN3-AS1	
Blood	SCPEP1	
Blood	LOC100129406	
Blood	UBTD1	
Blood	NCSTN	
Blood	MLX	
Blood	ME2	
Blood	LOC101928707	
Blood	SLC27A2	
Blood	ARL 3.00	
Blood	TAF13	
Blood	SPG11	
Blood	KIF4A	
Blood	RAC1	
Blood	CDK19	
Blood	MOSPD2	
Blood	GDE1	
