"","genes","QEp","pval","tau2","I2","num_exp","qval"
"13050","CDCA8",0.0323293885750537,0.789524220665605,0.0102508269798598,59.4087322384845,6,0.960896872249145
"13051","RP1-149A16.17",0.982205271870373,0.638033571552764,0,0,3,0.92446308772658
"13052","ATAD2",0.0016425408120196,0.621078317056513,0.0290239594578864,80.6120640427649,6,0.922025432740557
"13053","TNN",0.00460176309172608,0.118822145870972,0.026185251260733,76.0912660286921,5,0.6239261817703
"13054","NUP85",6.1014141328625e-05,0.37345771571707,0.0170976215477908,84.5405569175169,5,0.839117974409637
"13055","GATAD2A",0.000448845610270504,0.526520319486075,0.00999968372401689,79.0032661386048,6,0.896721009338798
"13056","APH1B",0.000337543185208287,0.499249129177475,0.0191546420505664,81.6583481390667,6,0.885783196442205
"13057","TMEM127",4.84093609200668e-05,0.952887817555318,0.00728152897146546,76.092186434032,6,0.99242904812963
"13058","CSRNP3",0.000313532559880532,0.0446349242796359,0.0173315497491595,79.7408855904492,6,0.431626513362223
"13059","LOC101927086",0.264572944694195,0.732324276248631,0.00192765660769812,30.5793085248106,3,0.950159654802396
"13060","GPR137B",0.431145624248336,0.0781121754551872,0.0013213082179499,14.1591720767015,6,0.541372771006104
"13061","TM4SF5",0.649848485918005,0.966845065999567,0,0,6,0.994209858656235
"13062","SPATA31A1 /// SPATA31A3 /// SPATA31A5 /// SPATA31A6 /// SPATA31A7",0.323323967184164,0.27050028913481,0.000979170923595983,18.5030797641453,3,0.782372670239928
"13063","CTRB1 /// CTRB2",0.744667528070508,0.723140092685025,0,0,3,0.947433699065359
"13064","UGGT2",2.08701724826064e-09,0.327878448066709,0.0326087772954792,88.5169016739331,6,0.817943824298905
"13065","ZNF426",5.37148075538347e-06,0.975969178082093,0.0115973237765405,79.5696845795966,6,0.995874003102636
"13066","PCDHA10",0.0881355265189494,0.226131208709998,0.00584278900052056,50.9705730246634,5,0.747397673218509
"13067","NCAM2",0.00416317186706041,0.00348919546997036,0.017843516330611,70.9361102558492,6,0.110085518469639
"13068","ITFG1",0.0135686533199795,0.920217206081334,0.00854214116281372,72.4024106038135,6,0.989130021752969
"13069","CYP27B1",0.0113198507566957,0.797976607298327,0.0246048666557928,71.2731468193931,6,0.963038686115353
"13070","TEX15",0.725332829181853,0.483794755622104,0,0,6,0.880907087256493
"13071","C1QA",0.00046523623837585,0.947979771204297,0.0423198004683172,73.4148226609053,6,0.992206821611163
"13072","NOTCH1",0.0140602282388061,0.115128019867345,0.0103738896656812,65.0191022266625,6,0.619864155489963
"13073","DONSON",0.111820012555315,0.120170473133317,0.00259097420307181,44.9084358024594,6,0.627317842480076
"13074","DET1",1.8976543042399e-05,0.681070072923459,0.017397438347899,82.728247191919,6,0.936318392854049
"13075","TAGLN3",0.167180559722571,0.744358411801751,0.00719855904771356,43.5969024569289,6,0.952449810095768
"13076","OSR2",0.294159749091404,0.0235184869994108,0.00270215514098273,15.8550995845812,6,0.311411662848009
"13077","CALM1",0.791538540647461,0.0604942720554889,0,0,6,0.489863347070388
"13078","ACTR3B",0.0295781490781889,0.776511957195081,0.00627971841746859,60.8599433431313,6,0.956867872953964
