"","genes","QEp","pval","qval"
"4110","FAM3A",1.35351060344437e-06,0.0291939745632811,0.288438025686581
"4111","IFNA21",0.644561257111742,0.909729523367324,0.987116722897626
"4112","PNMT",7.65750977797744e-17,0.0954803362494068,0.491299613767391
"4113","UBE2N",0.0162558740088511,0.566793114279587,0.873875520804112
"4114","SEMA3C",0.93662758906054,0.0281200605232923,0.283112896470252
"4115","CCRL2",0.919121116416466,0.0453027029540707,0.363688832106805
"4116","RGS7",0.762095110915853,0.928626140019246,0.988613958175174
"4117","TGM1",0.505501975520106,0.489764228770724,0.839491354428953
"4118","GPKOW",0.0136063980718187,0.121948881804886,0.540008934665416
"4119","INPP1",0.000622275922811046,0.0983691419950024,0.497153607969869
"4120","PCSK2",2.24440643979207e-05,0.757826262846473,0.939247986832591
"4121","DNM2",4.32662856138307e-20,0.356620062223687,0.760639351013467
"4122","MFAP5",0.243706354671592,0.597381937956234,0.879624656813012
"4123","IFIT1",2.10767914426778e-05,0.59825813814482,0.879624656813012
"4124","TMPRSS15",0.158754193675713,0.584206344240323,0.878229028275247
"4125","HUWE1",4.68008442016245e-20,0.838215353188009,0.967110121517665
"4126","CXCR3",0.000126149701570697,0.702805956400725,0.918349272717596
"4127","IL17A",0.00152958216043733,0.583951745557733,0.878229028275247
"4128","HMGN1",0.0739062176316303,0.262811530903631,0.682596464880924
"4129","SNAP23",0.00471933751379293,0.846010748723097,0.967110121517665
"4130","RER1",1.90921524702755e-08,0.715213864922539,0.922804739456111
"4131","FGFR2",1.02218393363739e-11,0.886352037326972,0.975902964043204
"4132","TRIM22",0.122995792594984,0.428532296087611,0.810266984215346
"4133","RARRES1",0.901506377772213,4.5170803728389e-07,0.000109170700379349
"4134","COG2",0.00511355322684349,0.621360702287154,0.886995313709078
"4135","DECR1",0.566116947991683,0.340174755685383,0.746080054945699
"4136","RBPJ",7.52023729779909e-05,0.916073647248786,0.98769903455422
"4137","KHK",0.000757299335724125,0.332086411913595,0.739544521584495
"4138","HCLS1",6.09608862386789e-16,0.961942102998071,0.993834427767131
"4139","EFNA1",7.31724537348764e-08,0.28791681195578,0.706102297216633
"4140","RPS23",1.85544021269305e-06,0.701795458965403,0.918010043729913
"4141","CACNB4",1.74593323893857e-09,0.166569113146242,0.589423088366071
"4142","CPNE1",0.350956266391239,0.572668239600582,0.874175520663732
"4143","PDE1A",1.84317229101679e-05,0.172666012050555,0.597929150720145
"4144","PXN",0.00196920707518621,0.00836464412776842,0.152422404106002
"4145","VPS72",3.93825747707216e-05,0.497924261293697,0.841538540078184
"4146","BCAT1",2.40765923953707e-11,0.861691225652221,0.970776768448233
"4147","DCK",0.000272910238487063,0.682777935266552,0.908846355036968
"4148","ANKRD7",0.728951870120137,0.88549274227545,0.975902964043204
"4149","DCTN6",0.867706626152005,0.157458680745465,0.58034013764728
"4150","DDO",7.71224953860312e-06,0.286169135415245,0.705542488280306
"4151","PPP2R3A",2.75957632169437e-10,0.508619573478429,0.845547373534874
"4152","NFKBIA",0.003918464698681,0.548551028853405,0.869201630260468
"4153","ZNF8",0.000838486954689979,0.551952144214081,0.870873970777299
"4154","IRF2",0.000132406534572048,0.474144433065339,0.830313851944474
"4155","CA3",6.45772175775082e-09,0.0733439186379012,0.44256934873225
"4156","SF3B2",0.00155172233792601,0.875700353801003,0.973983712872181
"4157","MTOR",5.86378032755295e-22,0.705592989075139,0.918553249620565
"4158","BAP1",0.0297145816289667,0.614133499327981,0.883792133784948
"4159","DCBLD2",2.03849332757509e-13,0.319148539756021,0.73246067412338
"4160","NID1",4.65544741795799e-11,0.632213240679445,0.892170621143212
"4161","MCC",4.97692453225484e-09,0.887141293661599,0.975902964043204
"4162","MPI",4.42606396131444e-06,0.409439691546059,0.79904252595814
"4163","HSD11B1",3.13886085197066e-05,0.499186685128813,0.842434861488978
"4164","SERPINA1",0.0119172287305938,0.845676437407353,0.967110121517665
"4165","CCNF",0.0531862480543251,0.746430772843252,0.936595188395425
"4166","PCP4",0.13766313374406,0.00402354040681972,0.0972426186742956
"4167","NDST2",0.000497199225260834,0.934735951115165,0.989769153901543
"4168","UPK1A",0.443670596777391,0.0155299940895013,0.212655359726212
"4169","FOXF1",0.419295258755062,0.00185018171811433,0.0594128283187483
"4170","SRP14",0.00940744209063663,0.941225919179628,0.990667083078381
"4171","UPP1",0.0152735984736656,0.646397414101778,0.896146591705368
"4172","LZTR1",2.14811534849237e-05,0.212092484798766,0.642857221251441
"4173","GFPT1",1.37638136639536e-09,0.607314282311658,0.882134304351433
"4174","GABRA2",0.0521515994389639,0.807878382113875,0.957875840521749
"4175","ADAR",1.15953817307046e-06,0.480420541041379,0.834282786775343
"4176","NRGN",0.570543612802588,0.0756749425093024,0.446977384482577
"4177","BIRC3",0.107457185489023,0.00535844453619003,0.113747135610052
"4178","TNFRSF17",2.80631067353009e-05,0.228263546321448,0.656588659318167
"4179","RPS6KA1",0.319623296148626,0.078723603674923,0.453574389053007
"4180","ICAM5",1.95441986430481e-05,0.669161158354593,0.903811156102086
"4181","RASL10A",0.0969182021022285,0.0539058855432957,0.395376152903768
"4182","UBE2I",0.0285726931602804,0.895224471033504,0.979245062169092
"4183","ADRA1A",5.50593862172315e-17,0.678162904182506,0.905841403132745
"4184","EIF4H",0.000178783408627849,0.482849330315075,0.835892862401133
"4185","PRKG2",4.38171126278089e-13,0.268125787237529,0.687840008376946
"4186","CUL4B",4.37036369219198e-05,0.806530989473541,0.957097504474732
"4187","TAF10",1.11425687577165e-08,0.757972611923004,0.939247986832591
"4188","ATXN10",0.0023332595720116,0.616075483502966,0.883792133784948
"4189","SDC2",0.00107558977012765,0.770165252844145,0.945881370467849
"4190","MME",0.0759538771490608,0.829481917523943,0.966969684819563
"4191","OSTF1",0.12881150135848,0.878754840091925,0.974443061337509
"4192","RYR2",5.5112608700468e-07,0.653217269590491,0.897303024701527
"4193","ADORA2B",0.636719997926312,0.240698575342075,0.664148383725126
"4194","TRIP12",4.06558657245553e-08,0.704142197745987,0.918349272717596
"4195","TSHB",0.0216922659559549,0.526102661796648,0.857906045088852
"4196","SCN7A",7.68593314455899e-05,0.246437621316674,0.670403766046307
"4197","ZYX",0.0959900889109733,0.0981945390314954,0.497143686033767
"4198","MFSD9",0.0279441782014158,0.88920701549143,0.975902964043204
"4199","STIP1",0.01402172553785,0.999398985270056,0.999701344549983
