"genes","TE.random","pval.random","tau2","I2","pval.Q","num_exp","qval.random","qval.Q"
"MMP20",0.0311588931895335,0.427000246882298,0.0062731438876872,0.630013967271919,0.00844286067259451,8,0.805806410365992,0.0160901184397858
"RAET1L",-0.0237594691693839,0.744599202012193,6.81289151063538e-05,0.149017901036795,0.317490634905554,4,0.928615700624339,0.373426439251514
"SLC17A9",0.0568477562550114,0.451963487874245,0.0267680696045307,0.658621201117395,0.00457605994628933,8,0.817782734226139,0.00936522167479198
"WHSC1",0.00836913235792643,0.884795460379844,0.0231916580559795,0.769347824720611,3.0521203601776e-05,9,0.970560217498851,0.000102804003811259
"C3orf32",0.0777585475347059,0.158619817235448,0.00299116397192235,0.345338415701719,0.191080684427726,5,0.612304366547895,0.242438140155014
"GNG8",-0.0667876542279591,0.35829603370812,0.024550679625352,0.704689191949574,0.00128423389358626,8,0.768163818893853,0.00301789336228262
"TEX9",0.0194415646297791,0.508033160160667,0.000593812948406259,0,0.498838155647716,7,0.840636174144189,0.549564757137554
"TFRC",0.0962055972421595,0.181798165583889,0.0311390409038478,0.638681566355788,0.00203350829669061,11,0.638522503012722,0.00455040388371864
"FAM60A",-0.0439876755388582,0.73256160143868,0.153110055182348,0.908778819034631,2.93430784915601e-17,10,0.924882980529096,1.08416608693089e-15
"FAM92A3",-0.0225562179685888,0.600829598516377,0,0,0.75984424898779,4,0.877597636514778,0.790273394056747
"CCNG1",0.00856353179833689,0.822439485355395,0.00570922669496613,0.514068648681466,0.0242279035749254,11,0.951800363089965,0.0406124575697561
"STARD6",0.0241952993172663,0.39075520451252,0.00165126680763641,0.0966989895690896,0.355213648799738,8,0.787464498903011,0.410904718060664
"SMC1B",-0.00522396400699774,0.836662911145664,0.000788663799977872,0.160034913078672,0.300019446847192,9,0.955958362553207,0.356351557824162
"GAMT",-0.0773220031124933,0.4157668643125,0.0791900690320075,0.831221868823096,5.02492843529997e-09,11,0.800969329372679,3.88453855682417e-08
"CYP21A2",-0.263360059406156,0.0904149073338566,0.131413941072667,0.852642508068009,3.29168407001146e-07,7,0.511474904863765,1.70462463097589e-06
"OR6N2",-0.0471663215826462,0.522720374810408,0.00308695973741587,0,0.643331932052167,4,0.846793765316396,0.685192668724788
"C10orf99",0.0204333616086078,0.709620123956258,0.00712238171253431,0.466843521419674,0.111599639392187,5,0.916858091102337,0.153186806600404
"TRIM9",0.0390684316753209,0.193480783518209,0.00423268505726372,0.507519143169164,0.0264932728588174,11,0.649342333022189,0.0439345105687461
"ARMC4",0.0101033081556034,0.852955785164801,0.010559832644187,0.448691498530742,0.0604010342940788,10,0.960711567010967,0.0902271081458913
"KCNJ12",0.132475981311077,0.160775554997055,0.028999049124366,0.641444579233123,0.0159635855928402,6,0.615826482066039,0.0282060365872175
"SEMA6A",-0.150582133312676,0.199039970632742,0.0962993110469236,0.764267747120847,1.61890118488932e-05,10,0.654865009384485,5.80547397262554e-05
"TTC17",-0.137835556940693,0.0865904676278654,0.052248595047697,0.876603761292674,4.03412212941912e-12,10,0.502929275988808,5.7694881219025e-11
"ARFGEF1",-0.0182493582200432,0.783702756655374,0.0354257522214594,0.829441805919319,3.23449078743709e-08,10,0.939728881693706,2.08994534623714e-07
